EX	EY	HX	HY	HZ
-86412.0	83250.0	1615800.0	1804400.0	1762200.0
-86427.0	83251.0	1615400.0	1805500.0	1707100.0
-86371.0	83233.0	1615900.0	1805300.0	546886.833504
-86377.0	98473.791591	1615500.0	1803200.0	1753200.0
-86377.0	83253.0	1614900.0	1803300.0	1799900.0
-86238.0	83268.0	1615300.0	1798900.0	1789700.0
-86317.0	83212.0	1615600.0	1797400.0	1773700.0
-86590.0	83069.0	1609000.0	1808300.0	1775800.0
-86660.0	83014.0	1600300.0	1817400.0	1741600.0
-86581.0	83025.0	1597200.0	1817700.0	1743800.0
-86609.0	83044.0	1597100.0	1818300.0	1747100.0
-86673.0	83046.0	1597600.0	1820600.0	1724200.0
-86553.0	83031.0	1598000.0	1819400.0	1726000.0
-86477.0	83022.0	1598300.0	1815300.0	1711200.0
-86470.0	83086.0	1602500.0	1813000.0	1702200.0
-86271.0	83267.0	1613700.0	1805200.0	1725100.0
-86295.0	83284.0	1620700.0	1794800.0	1738600.0
-86394.0	83178.0	1619400.0	1797400.0	1754800.0
-86203.0	83207.0	1620600.0	1795800.0	1766400.0
-86285.0	83199.0	1621400.0	1791600.0	1760600.0
-86364.0	83197.0	1621300.0	1796100.0	1754900.0
-86306.0	83205.0	1622600.0	1795500.0	1747200.0
-86467.0	83160.0	1621000.0	1799200.0	1739500.0
-86416.0	83124.0	1618900.0	1802700.0	1750600.0
-86334.0	83110.0	1617100.0	1799800.0	1759600.0
-86434.0	83158.0	1617400.0	1800800.0	1735400.0
-86398.0	83156.0	1618400.0	1800400.0	1715100.0
-86382.0	83153.0	1619400.0	1800800.0	1748500.0
-86380.0	83125.0	1619600.0	1801600.0	1777100.0
-86301.0	83083.0	1617500.0	1798500.0	1726300.0
-86377.0	83117.0	1617100.0	1798100.0	1712300.0
-86366.0	83124.0	1617200.0	1799500.0	1769900.0
-86288.0	83122.0	1616700.0	1797500.0	1776900.0
-86394.0	83102.0	1617200.0	1798500.0	1781700.0
